Id,SalePrice
1461,116012.90207783984
1462,137672.1015833368
1463,179909.91284785856
1464,200357.49030012163
1465,191024.47009373043
1466,180761.2083949697
1467,162944.58283679635
1468,176419.0127951391
1469,200858.83651521194
1470,116355.63568050298
1471,209786.91836093637
1472,117108.03695334679
1473,109878.94842271462
1474,167911.7253217915
1475,129306.57861920442
1476,345629.1289316683
1477,245847.45701091134
1478,326713.3553785826
1479,309845.41600674315
1480,489084.9190716655
1481,311183.96670005645
1482,231531.98126485513
1483,173814.81128235802
1484,184424.23003692992
1485,190497.1361784816
1486,202145.44159097693
1487,306670.94846481207
1488,260792.12713923198
1489,185296.29196652622
1490,207476.508112991
1491,191921.71612595711
1492,103295.1792012615
1493,195245.01521637343
1494,289524.99882523867
1495,289465.3487079431
1496,224797.39700368108
1497,187371.97680455487
1498,167151.6523449969
1499,170687.11424415212
1500,157104.97055320838
1501,172185.81791376692
1502,170557.02993865858
1503,273880.0487355905
1504,248356.2091514264
1505,225098.45924193106
1506,193052.19783012167
1507,248544.78288398526
1508,192415.6289509555
1509,160101.77283204033
1510,138116.84146738524
1511,136046.0179910259
1512,155095.34147236167
1513,157243.97113990143
1514,142341.6211946985
1515,189416.1207269582
1516,152195.81263334086
1517,164518.19206992787
1518,153866.60709797585
1519,216409.12606554432
1520,120648.4973543557
1521,122568.13477704412
1522,174633.29322293587
1523,109021.2994869806
1524,114597.5022964145
1525,111459.00571304464
1526,112656.51706167126
1527,103559.06975376715
1528,132903.64066099096
1529,130647.61162620934
1530,175934.56757054295
1531,128470.59428224475
1532,94243.23510818879
1533,137650.5819177197
1534,138620.17227267582
1535,154436.3929975444
1536,108092.0757860253
1537,94315.57556116304
1538,159324.85272320054
1539,169701.49888038816
1540,128849.17055779352
1541,137110.62279410777
1542,137756.92880470437
1543,188790.53145828733
1544,89846.6497037723
1545,111698.45566775136
1546,137160.11963540365
1547,131971.44566211107
1548,123628.95231008377
1549,116399.44534586727
1550,136901.57884661452
1551,120179.67322086566
1552,139584.80076581205
1553,122822.5154781747
1554,126570.50633633437
1555,151877.39732848923
1556,109395.53791191278
1557,94972.20749671289
1558,104699.24530090504
1559,95647.14530398963
1560,136442.83637363365
1561,118488.9751017164
1562,121544.98829168628
1563,113494.17174516447
1564,175345.59489466212
1565,155024.8730863852
1566,207521.89081135456
1567,91262.5522119541
1568,202498.27771300756
1569,142003.1511578572
1570,147226.44195638818
1571,125922.26250289782
1572,133747.66776710283
1573,235246.42524502415
1574,132412.58693467095
1575,211203.18199351375
1576,232069.48350334333
1577,195664.03619911752
1578,128299.68019917075
1579,141356.26401204444
1580,205722.9454084932
1581,132233.00840450224
1582,120011.03343901255
1583,313625.1635050599
1584,233573.1732151538
1585,152598.47929929884
1586,85584.47223403018
1587,101531.46528776144
1588,125967.11490127743
1589,113995.92917045375
1590,138201.00589310052
1591,90816.14545131254
1592,132624.2381247902
1593,124860.15348359985
1594,124257.2344407171
1595,113296.04373909689
1596,201821.27139764058
1597,171806.02763898313
1598,185268.21197180855
1599,198848.61061260357
1600,205497.573609607
1601,70423.82490917371
1602,116794.54668259351
1603,88501.2478837169
1604,247239.31147401046
1605,271224.1003363234
1606,170832.9240470796
1607,198808.38539205526
1608,231094.1883948899
1609,186240.84872042283
1610,145458.4373448021
1611,152212.1289858891
1612,173354.2165234508
1613,170608.52128190736
1614,132035.511394458
1615,99520.05188915339
1616,94200.85029385141
1617,106847.14970852555
1618,119604.08334102089
1619,128707.35058594968
1620,194421.17358249202
1621,134543.97723464968
1622,133978.18300590842
1623,260797.01999534646
1624,210363.42682040302
1625,117372.66691332121
1626,179418.17028694152
1627,185108.87704937172
1628,285772.84699371096
1629,188933.4607507373
1630,330541.63302177296
1631,214495.49614804343
1632,233977.79525932635
1633,182310.83409761166
1634,194670.74459825447
1635,189535.98770099683
1636,166806.81797198695
1637,166578.06142938754
1638,210118.70901246372
1639,189564.14485849737
1640,242331.9546613466
1641,191870.4377124089
1642,243866.08708145103
1643,238721.4177208564
1644,247496.80059012191
1645,176336.23517586748
1646,159279.44275516563
1647,173010.06366568842
1648,139871.18660944924
1649,117533.86789382328
1650,107947.68836107625
1651,119285.94070304737
1652,117902.81569566336
1653,117282.30736888612
1654,162378.79341385828
1655,162910.2026457767
1656,161174.13468408238
1657,160209.01937347883
1658,162843.69292358586
1659,134802.10847431573
1660,151102.49452756162
1661,436197.3765988125
1662,394463.4261563463
1663,355254.1975175238
1664,483332.4292267397
1665,304744.39090583863
1666,308918.810304842
1667,335533.4767600865
1668,329069.6292514735
1669,298557.1895463547
1670,336543.5959125793
